QID,schoolLabel,namedAfter
http://www.wikidata.org/entity/Q133853981,Ludwig-Erhard-Berufskolleg Paderborn,Ludwig Erhard
http://www.wikidata.org/entity/Q133853995,Richard-von-Weizsäcker-Berufskolleg Paderborn,Richard von Weizsäcker
http://www.wikidata.org/entity/Q133871396,Richard-von-Weizsäcker-Berufskolleg Lüdinghausen,Richard von Weizsäcker
http://www.wikidata.org/entity/Q133868063,Anne-Frank-Berufskolleg,Anne Frank
http://www.wikidata.org/entity/Q133852292,Albrecht-Dürer-Berufskolleg,Albrecht Dürer
http://www.wikidata.org/entity/Q133867731,Mercator Berufskolleg Moers,Gerhard Mercator
http://www.wikidata.org/entity/Q133876991,Robert-Schuman-Berufskolleg Dortmund,Robert Schuman
http://www.wikidata.org/entity/Q133879080,Lessing-Berufskolleg Düsseldorf,Gotthold Ephraim Lessing
http://www.wikidata.org/entity/Q133853950,Gregor-Mendel-Berufskolleg des Kreises Paderborn,Gregor Mendel
http://www.wikidata.org/entity/Q133852310,Walter-Eucken-Berufskolleg,Walter Eucken
http://www.wikidata.org/entity/Q133865104,Martin-Behaim-Schule,Martin Behaim
http://www.wikidata.org/entity/Q133871135,Hermann-Gmeiner-Berufskolleg,Hermann Gmeiner
http://www.wikidata.org/entity/Q133311008,Lise-Meitner-Schule,Lise Meitner
http://www.wikidata.org/entity/Q133868213,Berufskolleg Lise Meitner,Lise Meitner
http://www.wikidata.org/entity/Q133871746,Paul-Ehrlich-Berufskolleg Dortmund,Paul Ehrlich
http://www.wikidata.org/entity/Q133864320,Geschwister-Scholl-Schule,Hans Scholl; Sophie Scholl
http://www.wikidata.org/entity/Q133871108,Geschwister-Scholl-Berufskolleg Leverkusen,Hans Scholl; Sophie Scholl
http://www.wikidata.org/entity/Q133849090,Werner-von-Siemens-Schule Köln,Werner von Siemens
http://www.wikidata.org/entity/Q133814911,Jane-Addams-Schule (Standort Berlin-Hohenschönhausen),Oskar Schindler; Jane Addams
http://www.wikidata.org/entity/Q133884392,Konrad-Zuse-Schule Hünfeld,Konrad Zuse
http://www.wikidata.org/entity/Q133883558,Anhaltisches Berufsschulzentrum,Hugo Junkers
http://www.wikidata.org/entity/Q133868366,Walter-Gropius-Berufskolleg,Walter Gropius
http://www.wikidata.org/entity/Q133855084,Eduard-Spranger-Berufskolleg,Eduard Spranger
http://www.wikidata.org/entity/Q133868084,Josef-Pieper-Schule,Josef Pieper
http://www.wikidata.org/entity/Q133848102,Georg-Kerschensteiner-Berufskolleg,Georg Kerschensteiner
http://www.wikidata.org/entity/Q133868997,Elisabeth-von-der-Pfalz-Berufskolleg,Elisabeth von der Pfalz
http://www.wikidata.org/entity/Q133869826,Reinhard-Mohn-Berufskolleg für Wirtschaft und Verwaltung,Reinhard Mohn
http://www.wikidata.org/entity/Q133855165,Paul-Spiegel-Berufskolleg Warendorf,Paul Spiegel
http://www.wikidata.org/entity/Q133868963,Paul-Spiegel-Berufskolleg Dorsten,Paul Spiegel
http://www.wikidata.org/entity/Q133851049,Karl-Schiller-Berufskolleg für Wirtschaft und Verwaltung,Karl Schiller
http://www.wikidata.org/entity/Q133850947,Carl-Severing-Berufskolleg für Handwerk und Technik,Carl Severing
http://www.wikidata.org/entity/Q133868171,Carl-Severing-Berufskolleg für Metall- und Elektrotechnik,Carl Severing
http://www.wikidata.org/entity/Q133871094,Carl-Severing-Berufskolleg für Wirtschaft und Verwaltung,Carl Severing
http://www.wikidata.org/entity/Q133854070,Mildred-Scheel-Berufskolleg,Mildred Scheel
http://www.wikidata.org/entity/Q133869012,Wilhelm-Normann-Berufskolleg,Wilhelm Normann
http://www.wikidata.org/entity/Q133855218,Elisabeth-Lüders-Berufskolleg,Marie-Elisabeth Lüders
http://www.wikidata.org/entity/Q133883445,Gertrud-Bäumer-Berufskolleg Duisburg,Gertrud Bäumer
http://www.wikidata.org/entity/Q133849110,Nicolaus-August-Otto-Berufskolleg,Nicolaus Otto
http://www.wikidata.org/entity/Q133848083,Nell-Breuning-Berufskolleg in Frechen,Oswald von Nell-Breuning
http://www.wikidata.org/entity/Q133871406,Oswald-von-Nell-Breuning-Berufskolleg Coesfeld,Oswald von Nell-Breuning
http://www.wikidata.org/entity/Q133855137,Johann-Conrad-Schlaun-Berufskolleg,Johann Conrad Schlaun
http://www.wikidata.org/entity/Q133884313,Friedrich-Dessauer-Schule,Friedrich Dessauer
http://www.wikidata.org/entity/Q133869467,Lore-Lorentz-Schule,Lore Lorentz
