schule,schuleLabel,koord,adresse,gründung,jedeschuleID,schulnummer,ausbildungsberufe,teil_von,besteht_aus,website
http://www.wikidata.org/entity/Q133930688,Herman-Nohl-Schule Hildesheim,Point(9.938579 52.1699395),"Steuerwalder Straße 162, 31137 Hildesheim",,NI-71262,,Sozialassistent [–]; Pflegeassistent [–]; Pflegefachmann [–]; Medizinischer Fachangestellter [81102]; Heilerziehungspfleger [–]; Zahnmedizinischer Fachangestellter [81112]; Ergotherapeut [–]; Erzieher [–],,,https://www.herman-nohl-schule.de/
http://www.wikidata.org/entity/Q133930693,Walter-Gropius-Schule Hildesheim,Point(9.9379462 52.1694802),"Steuerwalder Str. 158, 31137 Hildesheim",,NI-71225,,Friseur [82312310]; Zimmerer [33322320]; Koch [29302]; Bäcker [29222310]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Fleischer [29232]; Dachdecker [32142330]; Fachkraft für Gastronomie [63302]; Fachverkäufer im Lebensmittelhandwerk (Bäckerei) [62312331]; Fahrzeuglackierer [22212]; Medientechnologe Druckverarbeitung [23422]; Medientechnologe Siebdruck [23412]; Maschinen- und Anlagenführer [25122]; Mediengestalter Digital und Print [61122]; Medientechnologe Druck [23412]; Packmitteltechnologe [23122]; Fachverkäufer im Lebensmittelhandwerk (Fleischerei) [62322313]; Hotelfachmann [63222]; Fachverkäufer im Lebensmittelhandwerk (Konditorei) [62312332]; Fachkraft Küche [29302060]; Hauswirtschafter [83212]; Fachpraktiker Hauswirtschaft [83212040]; Fachkraft für Restaurants und Veranstaltungsgastronomie [63302100]; Raumausstatter [93232],,,https://www.bbs-walter-gropius.de/
http://www.wikidata.org/entity/Q133930701,Friedrich-List-Schule Hildesheim,Point(9.952834129 52.148674011),"Wollenweberstraße 66 - 68, 31134 Hildesheim",,NI-71183,,Rechtsanwalts- und Notarfachangestellter [73112]; Verkäufer [62102]; Automobilkaufmann [62272]; Bankkaufmann [72112010]; Fachlagerist [51312]; Fachkraft für Lagerlogistik [51312]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Sport- und Fitnesskaufmann [63122]; Steuerfachangestellter [72302]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Verwaltungsfachangestellter [73202]; Kaufmann im E-Commerce [61282],,,https://www.fls-hi.de/
http://www.wikidata.org/entity/Q133930985,Max-Eyth-Schule Schiffdorf,Point(8.6532466 53.5281706),"Jierweg 20, 27619 Schiffdorf",,NI-72618,,Landwirt [11102]; Erzieher [–]; Sozialassistent [–]; Pflegeassistent [–],,,https://www.mes-schiffdorf.de/
http://www.wikidata.org/entity/Q133931000,Johann-Heinrich-von-Thünen-Schule Bremervörde,Point(9.1327876 53.4809955),"Tetjus-Tügel-Straße 11, 27432 Bremervörde",,NI-72199,,"Pharmazeutisch-technischer Assistent [–]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Verkäufer [62102]; Kfz-Mechatroniker [25212]; Erzieher [–]; Sozialassistent [–]; Pflegeassistent [–]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Fachpraktiker für Metallbau [24412110]",,,https://bbsbrv.de/
http://www.wikidata.org/entity/Q133931009,Georg-Sonnin-Schule,Point(10.4254271 53.2447839),"Am Schwalbenberg 25, 21337 Lüneburg",,NI-71961,,"Friseur [82312310]; Textil- und Modeschneider [28222]; Zimmerer [33322320]; Zerspanungsmechaniker [24232]; Änderungsschneider [28222]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Dachdecker [32142330]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Kfz-Mechatroniker [25212]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Geräte und Systeme [26302]; Feinwerkmechaniker [24512]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Konstruktionsmechaniker [24412]; Textil- und Modenäher [28222]; Produktveredler Textil [28142]; Mechatroniker [26112]; Maßschneider [28222]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Metallbauer [24412]; Fachinformatiker für Systemintegration [43102]; Land- und Baumaschinenmechatroniker [25222]",,,https://www.georg-sonnin-schule.de/
http://www.wikidata.org/entity/Q133931048,Georg-von-Langen-Schule,Point(9.4613459 51.820623),"Von-Langen-Allee 5, 37603 Holzminden",1866-01-01T00:00:00Z,NI-71377,,"Koch [29302]; Bäcker [29222310]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Zahnmedizinischer Fachangestellter [81112]; Dachdecker [32142330]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Verkäufer [62102]; Kfz-Mechatroniker [25212]; Fachkraft für Gastronomie [63302]; Chemikant [41312]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Automatisierungstechnik [26122]; Fachkraft für Lagerlogistik [51312]; Fachverkäufer im Lebensmittelhandwerk (Bäckerei) [62312331]; Fahrzeuglackierer [22212]; Feinwerkmechaniker [24512]; IT-Systemelektroniker [26312]; Produktionsfachkraft Chemie [41312040]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Restaurantfachmann [63302050]; Werkzeugmechaniker [24522]; Chemielaborant [41322010]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Medizinischer Fachangestellter [81102]; Verwaltungsfachangestellter [73202]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Bauten- und Objektbeschichter [33212320]; Hotelfachmann [63222]; Kaufmann für Digitalisierungsmanagement [43112]; Metallbauer [24412]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker für Systemintegration [43102]",,,https://www.bbs-holzminden.de/
http://www.wikidata.org/entity/Q133896957,Handelslehranstalt Bruchsal,Point(8.596922 49.1227211),"Stadtgrabenstr. 1, 76646 Bruchsal",,BW-04100328,,Kaufmann im Einzelhandel [62102010]; Verkäufer [62102]; Fachkraft für Lagerlogistik [51312]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Kaufmann für Büromanagement [71402],,,http://www.handelslehranstalt-bruchsal.de
http://www.wikidata.org/entity/Q133896990,Philipp-Matthäus-Hahn Schule Balingen,Point(8.846932 48.2651099),"Steinachstr. 19, 72336 Balingen",,BW-04102325,,Textil- und Modeschneider [28222]; Zimmerer [33322320]; Zerspanungsmechaniker [24232]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Kfz-Mechatroniker [25212]; Produktionsmechaniker Textil [28102]; Industrieelektriker [26302]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Geräte und Systeme [26302]; Fachkraft für Metalltechnik [25112]; Feinwerkmechaniker [24512]; Holzmechaniker [22342]; Maschinen- und Anlagenführer [25122]; Karosserie- und Fahrzeugbaumechaniker [25212]; Konstruktionsmechaniker [24412]; Textil- und Modenäher [28222]; Werkzeugmechaniker [24522]; Stuckateur [33222]; Mechatroniker [26112]; Straßenbauer [32222]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Zweiradmechatroniker [25252]; Präzisionswerkzeugmechaniker [24522]; Metallbauer [24412]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker für Systemintegration [43102],,,http://www.gsz-zak.de
http://www.wikidata.org/entity/Q133897028,Willi-Burth-Schule Bad Saulgau,Point(9.4946974 48.0122398),"Wuhrweg 36, 88348 Bad Saulgau",,BW-04102441,,Fotograf [23322]; Friseur [82312310]; Zerspanungsmechaniker [24232]; Kfz-Mechatroniker [25212]; Industrieelektriker [26302]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Maschinen und Antriebstechnik [26222]; Fachkraft für Metalltechnik [25112]; Feinwerkmechaniker [24512]; Fertigungsmechaniker [25112]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Werkzeugmechaniker [24522]; Polsterer [28242]; Metallbauer [24412]; Raumausstatter [93232],,,http://www.gbs-badsaulgau.de
